T?nh,N?m,Dân s?,Dân s? nam,Dân s? n?,Dân s? thành th?,Dân s? nông thôn,S? l??ng trang tr?i,Di?n tích tr?ng lúa,S?n l??ng lúa,Di?n tích tr?ng ngô,S?n l??ng ngô,Di?n tích khoai lang,S?n l??ng khoai lang,S? l??ng trâu,S? l??ng bò,S? l??ng l?n,S? l??ng gia c?m,Di?n tích r?ng tr?ng m?i,S?n l??ng g? khai thác,Di?n tích nuôi tr?ng th?y s?n,S?n l??ng th?y s?n,S? l??t v?n chuy?n hành khách,S? l??t luân chuy?n hành khách,Kh?i l??ng hàng hóa v?n chuy?n,Kh?i l??ng hàng hóa luân chuy?n,S? tr??ng ti?u h?c,S? tr??ng thcs,S? tr??ng thpt,S? giáo viên ti?u h?c,S? giáo viên thcs,S? giáo viên thpt,S? h?c sinh ti?u h?c,S? h?c sinh thcs,S? h?c sinh thpt,S? b?nh vi?n,S? tr?m y t?,S? bác s?
Hà Giang,2001,631600,312700,318900,68500,563100,181,32000,130800,43200,79200,1400,4600,130199,60500,271200,1597000,3200,56400,1000,896,500000,49200000,437000,10200000,136,34,8,6285,1798,877,103303,36937,11691,11,175,264
Cao B?ng,2001,496200,242400,253800,67400,428800,12,29200,99800,32299,78800,2100,9200,106200,110100,262900,1509000,1100,30100,300,244,1100000,100900000,598000,31000000,173,60,9,3780,1891,572,68225,43802,16025,16,189,330
B?c K?n,2001,280500,140100,140400,40800,239700,12,19600,75500,10200,24100,400,1700,80100,32000,152700,948000,2200,22700,500,243,700000,36600000,1091600,15600000,110,65,5,2093,1563,341,35632,28399,10433,6,122,221
Tuyên Quang,2001,690200,341200,349000,67300,622900,68,46100,229700,12600,44700,4300,24000,136700,20100,276400,3029000,5200,99700,1400,1416,1600000,123700000,3147000,136800000,131,101,13,4547,3302,1006,83710,73014,34619,11,145,372
Lào Cai,2001,616600,307600,309000,105100,511500,201,36800,122100,23500,44900,500,2200,117000,17900,316700,1965000,2700,29900,1000,607,1700000,44800000,409900,5000000,149,98,18,4563,2578,457,95011,51922,11026,12,165,290
Yên Bái,2001,694100,346500,347600,136000,558100,839,40500,155600,10200,20600,2500,12700,87600,28100,296100,2429000,8000,103000,1900,1654,2800000,125100000,1601000,40000000,155,94,20,4579,3167,873,89110,63180,20517,11,178,409
Thái Nguyên,2001,1063600,529900,533700,239500,824100,379,69500,286700,9700,29700,12400,58500,122100,25600,430400,4700000,2500,11600,2300,3023,1500000,115300000,2906000,96200000,222,173,21,5318,4981,1460,100866,97498,33901,15,175,700
L?ng S?n,2001,710500,352400,358100,132000,578500,77,49100,179100,13800,56200,2500,11300,185200,45300,304400,3495000,10600,67700,1000,795,1900000,176500000,2344000,45800000,154,83,14,4895,3707,647,95570,73275,19836,13,226,404
B?c Giang,2001,1509100,745700,763400,127000,1382100,377,115200,475500,8900,22300,15100,124600,100800,75100,781000,7564000,4400,34800,3000,6891,3400000,239100000,2908000,80800000,256,215,36,7981,5936,1731,162834,154336,52778,15,229,611
Phú Th?,2001,1276000,626400,649600,183700,1092300,192,71200,309200,14900,48100,5100,24700,90700,96900,471200,6295000,4600,47800,4700,10769,1900000,166400000,3891700,106400000,294,246,47,6324,5694,1401,129604,119747,49031,18,273,556
?i?n Biên,2001,638700,322800,315900,79000,559700,23,54700,139600,32100,47500,600,3000,134600,26900,268100,841000,0,0,0,0,1000000,74900000,775000,15200000,130,59,10,4757,1929,494,89850,36891,10257,8,88,285
Lai Châu,2001,638700,322800,315900,79000,559700,23,54700,139600,32100,47500,600,3000,134600,26900,268100,841000,1900,113900,1400,603,1000000,74900000,775000,15200000,130,59,10,4757,1929,494,89850,36891,10257,8,90,285
S?n La,2001,931400,467000,464400,108200,823200,38,40600,112100,55200,151600,700,3400,128699,96100,419700,3051000,8300,67600,1000,2335,1500000,126200000,1007000,84000000,164,115,17,7414,3448,664,143215,70558,18075,14,201,394
Hòa Bình,2001,783300,387700,395600,109300,674000,74,44300,189000,21800,56300,4600,19600,117900,50700,339100,2964000,6400,65900,1400,1734,2000000,104300000,1230000,41600000,199,180,33,5678,4385,946,85028,73544,23011,13,214,325
Thanh Hóa,2001,3464000,1692700,1771300,323300,3140700,1564,257600,1190400,44300,140000,24100,144600,215400,233600,1114900,8206000,6700,39100,10300,52340,3200000,230000000,9736000,620000000,729,650,84,16848,13306,4092,411135,366732,122553,32,623,1399
Ngh? An,2001,2877000,1416500,1460500,303400,2573600,306,189100,781100,33900,90200,30100,182400,271700,286900,1093800,9309000,10500,92600,13100,42237,9800000,654300000,6725500,545200000,678,445,82,16683,12819,4673,375265,319962,121434,24,469,982
Hà T?nh,2001,1265100,620700,644400,130000,1135100,44,108300,414100,2400,6100,17300,90000,100000,148000,406300,3616000,7700,27100,3000,24949,2300000,185800000,4082000,216800000,315,203,35,6432,6136,1938,164852,143184,58213,14,261,507
Qu?ng Bình,2001,808100,399500,408600,95500,712600,425,47700,191700,3300,10700,6100,34900,33600,105100,281000,1868000,6300,29200,1600,22250,6000000,107500000,4220000,121300000,248,141,21,3979,3723,1046,107603,82540,30791,8,157,378
Qu?ng Tr?,2001,580800,285800,295000,140400,440400,525,46900,184800,1900,2900,4400,25600,37100,57800,211500,1877000,6600,20900,1100,13266,3800000,248600000,1682000,89700000,154,92,21,3232,2335,1201,80154,55131,23612,9,138,308
